island,sheet,corolla_id,preqc_base_x,preqc_base_y,preqc_tip_x,preqc_tip_y,reviewed_base_x,reviewed_base_y,reviewed_tip_x,reviewed_tip_y,axis_source,changed_from_preqc
Oshima,oshima10~13,1,357.236,475.358,517.942,812.284,357.236,475.358,517.942,812.284,preqc_symmetry,no
Oshima,oshima10~13,2,1016.211,347.142,976.51,851.591,1016.211,347.142,976.51,851.591,preqc_symmetry,no
Oshima,oshima10~13,3,1377.679,432.335,1416.935,859.557,1377.679,432.335,1416.935,859.557,preqc_symmetry,no
Oshima,oshima10~13,4,408.905,938.787,498.514,1360.367,408.905,938.787,498.514,1360.367,preqc_symmetry,no
Oshima,oshima10~13,5,980.75,1001.598,894.078,1384.633,980.75,1001.598,894.078,1384.633,preqc_symmetry,no
Oshima,oshima10~13,6,1479.818,1049.548,1508.661,1489.61,1479.818,1049.548,1508.661,1489.61,preqc_symmetry,no
Oshima,oshima10~13,7,1888.806,1202.216,1921.568,1618.501,1888.806,1202.216,1921.568,1618.501,preqc_symmetry,no
Oshima,oshima10~13,8,389.16,1534.063,409.649,1794.404,389.16,1534.063,409.649,1794.404,preqc_symmetry,no
Oshima,oshima10~13,9,932.522,1571.512,879.68,1820.115,932.522,1571.512,879.68,1820.115,preqc_symmetry,no
Oshima,oshima10~13,10,1422.902,1610.83,1509.19,1932.864,1472.0,1602.0,1466.0,1939.0,reviewed_override,yes
Oshima,oshima10~13,11,1937.149,1767.951,1869.946,2130.549,1937.149,1767.951,1869.946,2130.549,preqc_symmetry,no
Oshima,oshima10~13,12,430.953,2133.741,359.568,2492.618,430.953,2133.741,359.568,2492.618,preqc_symmetry,no
Oshima,oshima10~13,13,843.433,2115.773,1060.425,2555.79,843.433,2115.773,1060.425,2555.79,preqc_symmetry,no
Oshima,oshima10~13,14,1447.375,2141.034,1517.215,2581.987,1447.375,2141.034,1517.215,2581.987,preqc_symmetry,no
Oshima,oshima10~13,15,1888.827,2244.751,1877.491,2677.655,1888.827,2244.751,1877.491,2677.655,preqc_symmetry,no
Oshima,oshima10~13,16,512.23,2662.61,461.459,3048.249,512.23,2662.61,461.459,3048.249,preqc_symmetry,no
Oshima,oshima10~13,17,952.223,2654.243,1008.643,3130.937,952.223,2654.243,1008.643,3130.937,preqc_symmetry,no
Oshima,oshima10~13,18,1559.303,2731.122,1621.551,3160.442,1559.303,2731.122,1621.551,3160.442,preqc_symmetry,no
