test,trait,present_mean,absent_mean,stat,p
bombus_vs_free,guide_coverage_pct,19.6,4.18,9682.5,4.27e-18
bombus_vs_free,n_guide_spots,130.89,60.66,8808.5,1.39e-11
bombus_vs_free,guide_contrast_dE,107.04,103.78,5355.5,0.293
bombus_vs_free,guide_saturation,133.63,133.97,4906.5,0.959
ancova_coverage,bombus_present_coef,15.69,,0.274,2.55e-12
pst_guide,guide_coverage_pct,0.217,,22.3,2.04e-15
pst_guide,n_guide_spots,0.131,,12.6,3.16e-09
pst_guide,guide_contrast_dE,0.046,,4.3,0.00235
pst_guide,guide_saturation,0.078,,6.8,4.09e-05
pst_size,corolla_length_mm,0.313,,36.2,4.77e-23
pst_size,throat_width_mm,0.182,,18.2,7.17e-13
pst_size,mouth_width_mm,0.316,,36.6,2.77e-23
pst_size,style_length_mm,0.432,,58.2,6.09e-33
