island,sheet,corolla_id,n_spots,n_strong_spots,n_weak_recovered_spots,n_large_spot_clusters,guide_area_mm2,guide_cov_pct,guide_cov_strong_pct,guide_cov_weak_recovered_pct,spot_density_cm2,mean_spot_area_mm2,median_spot_area_mm2,max_spot_area_mm2,brown_overlap_pct_of_spots,guide_present,n_oxidized_recovered_spots,guide_area_incl_oxidized_mm2,guide_cov_incl_oxidized_pct,spot_qc_source,scale_source,scale_qc,mm_per_px,px_per_cm,ruler_spacing_cv,ruler_tick_count,ruler_regular_interval_count,ruler_baseline_y,ruler_tick_x
Niijima,niijima2,1,84,54,30,4,156.674,27.489,25.312,2.177,14.738,1.8652,0.1219,111.6056,0.0,1,529,225.806,39.619,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,2,102,45,57,7,148.021,27.761,24.417,3.344,19.13,1.4512,0.1111,87.3404,0.0,1,521,223.39,41.896,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,3,77,56,21,3,126.208,23.117,22.092,1.024,14.104,1.6391,0.0717,101.025,0.0,1,448,209.412,38.356,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,4,48,44,4,2,26.308,2.869,2.652,0.217,5.235,0.5481,0.2294,6.5806,0.0,1,324,84.616,9.228,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,5,117,101,16,2,36.265,5.341,4.645,0.696,17.23,0.31,0.086,4.7168,0.0,1,324,147.813,21.768,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,6,188,163,25,10,197.548,11.639,10.834,0.805,11.076,1.0508,0.1039,44.387,0.0,1,935,387.118,22.807,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,7,108,96,12,3,55.262,8.231,7.524,0.708,16.087,0.5117,0.1004,18.939,0.0,1,298,185.978,27.702,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,8,19,17,2,0,1.814,1.4,1.018,0.382,14.662,0.0955,0.0573,0.4444,0.0,1,25,12.91,9.963,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,9,287,261,26,18,213.584,15.498,14.27,1.229,20.825,0.7442,0.1577,29.0394,0.0,1,1129,438.43,31.813,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,10,112,102,10,1,49.692,7.731,7.063,0.668,17.425,0.4437,0.1398,18.1649,0.0,1,441,177.921,27.681,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,11,62,47,15,3,29.283,5.003,4.434,0.57,10.593,0.4723,0.1219,3.9498,0.0,1,282,106.487,18.194,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,12,98,87,11,1,29.849,5.42,4.82,0.6,17.794,0.3046,0.1362,4.3154,0.0,1,343,126.072,22.89,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,13,32,27,5,0,12.172,2.456,2.218,0.237,6.456,0.3804,0.1828,2.2007,0.0,1,218,40.15,8.1,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,14,47,43,4,0,20.079,3.718,3.248,0.47,8.704,0.4272,0.1075,2.595,0.0,1,238,61.004,11.297,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
Niijima,niijima2,15,25,23,2,0,5.025,1.029,1.013,0.016,5.119,0.201,0.043,1.6631,0.0,1,89,28.466,5.829,raw_scan_two_stage_reviewed_ruler_scale,fallback_verified_300dpi,check,0.0846667,118.1102,0.00063,4,2,828,216.00|451.33|569.34|687.50
